site_id,juniorhigh_p,seniorhigh_p,associate_p,college_p,spouse_p,divorce_p,ever_married_p,age_20_p,age_20_40_p,avg_age,median_age,pr_avg_age,median_income,christian_p,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9
臺南市東山區,0.7067,0.4721,0.1935,0.134,0.521,0.081,0.7108,0.1294,0.2668,46.8035,48.8694,0.9295,528,0.0234,0.488171300293559,0.4198012775017743,0.2477485431749956,0.1264849755415793,-0.3937666286583048,-0.33193116634799236,0.17058096415327564,0.5605146763168476,0.4819550422767581,0.4791666666666667
臺南市官田區,0.7801,0.6022,0.2855,0.2064,0.4986,0.0812,0.6774,0.1564,0.3166,43.5985,44,0.6748,563,0.0279,0.486506859641188,0.364101107639875,0.2183875530410184,0.19334991491032857,-0.2605958875367184,-0.26910642700116383,0.14619012161826755,0.5077951002227171,0.4249857387335995,0.4732824427480916
臺南市關廟區,0.7615,0.562,0.2542,0.1883,0.5138,0.0728,0.6718,0.1475,0.3201,43.5921,43.5736,0.6721,539,0.024,0.5196229318968835,0.3706952266642046,0.25018382352941176,0.057762330354187354,-0.39075015071914565,-0.3395279993421594,0.17320669832541866,0.559543918918919,0.4903384221202092,0.5136848779456832
臺南市歸仁區,0.8361,0.6564,0.3293,0.2454,0.5174,0.075,0.6536,0.169,0.3644,40.0195,39.4093,0.2656,590,0.0346,0.4561819704158526,0.3381111189952459,0.2439983153165801,0.06877448993379273,-0.32935627081021085,-0.30228529548937305,0.12187226006609564,0.536596454008183,0.46819571865443427,0.5070271921784296
臺南市後壁區,0.7305,0.5459,0.2509,0.1708,0.5242,0.0717,0.7056,0.1303,0.2709,47.4225,49,0.9539,560,0.0215,0.5443735135811741,0.4124790078801189,0.25573644404563517,0.16705308114704087,-0.3782731301195112,-0.32622032542011203,0.15130434782608695,0.5694503925767309,0.4922159173577768,0.5296117880419382
臺南市佳里區,0.8271,0.6468,0.3315,0.253,0.5127,0.0742,0.6612,0.1552,0.3435,41.961,41,0.4743,575,0.0233,0.5040387722132472,0.3771029058335154,0.26037817865681373,0.13532513181019332,-0.35583712157848923,-0.3184954806103606,0.18287037037037038,0.562055768179333,0.5005630630630631,0.5152734129478316
臺南市將軍區,0.7183,0.483,0.1931,0.1424,0.5,0.0875,0.6947,0.1267,0.2789,46.7499,47.9475,0.9241,506,0.0049,0.4549520766773163,0.46046662346079065,0.3135448652337086,0.20500223313979454,-0.413961038961039,-0.40669856459330145,0.18231687641174574,0.5668990330559928,0.5023685991427926,0.5313791068266771
臺南市柳營區,0.7624,0.5693,0.279,0.1989,0.5087,0.0772,0.6798,0.1551,0.3079,44.9877,45.8282,0.7913,575,0.0173,0.5450174825174825,0.38385870780236975,0.24177777777777779,0.12321462578556465,-0.3630650719643219,-0.31930246542393265,0.1863101604278075,0.5825589706933524,0.5178916827852998,0.5075449101796408
臺南市六甲區,0.7713,0.5939,0.2882,0.212,0.513,0.0709,0.6731,0.1555,0.3144,43.3524,43.5436,0.645,570,0.0152,0.49294225481209897,0.3509574648364684,0.17060810810810811,0.1546162402669633,-0.3414258847666268,-0.2829929637892569,0.1260653409090909,0.5164099129269927,0.4344484629294756,0.4477729601891998
臺南市龍崎區,0.6612,0.4266,0.1664,0.1135,0.5451,0.0928,0.7555,0.1038,0.2369,50.5793,53,0.9919,518,0.017,0.5871766029246345,0.44883720930232557,0.26762177650429797,0.02567027952082145,-0.4191220685508118,-0.4128329297820823,0.1719662556781311,0.5689092096668844,0.5019815059445178,0.5477582846003899
臺南市麻豆區,0.8063,0.6319,0.3216,0.2416,0.5216,0.0682,0.6761,0.1455,0.3164,43.4901,43,0.6612,581,0.0251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
臺南市南化區,0.7033,0.4653,0.1924,0.1391,0.5373,0.0821,0.719,0.1415,0.2798,46.3301,48,0.8889,521,0.0101,0.5633293124246079,0.4055394791236048,0.1886949293433084,-0.011698265429608713,-0.4268956849602011,-0.3676716917922948,0.16926422616890177,0.5676251331203408,0.5081081081081081,0.501932159725204
臺南市南區,0.8239,0.6516,0.3441,0.2595,0.4733,0.0892,0.6315,0.1518,0.3387,42.7774,42.3619,0.5691,554,0.0473,0.46504024144869216,0.362406015037594,0.27156629522974834,0.10962598194395591,-0.33960880195599025,-0.3111302105715514,0.13460703430308293,0.5235075141320833,0.46313428651527894,0.49813767416195337
