site_id,大學畢業比例(%),曾經結婚比例(%),年齡中位數,所得中位數(萬元),vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9,投票權人數
南投縣名間鄉,0.1629,0.6763,44,52.3,43.5,39.53,34.48,26.55,15.14,16.18,33.25,44.74,42.58,42.36,18333
南投縣南投市,0.2528,0.649,41,58,44.52,40.8,36.39,24.05,16.13,17.18,35.1,47.14,44.79,45.19,48341
南投縣仁愛鄉,0.0946,0.69,37,56,45.29,41.56,34.75,19.05,14.56,13.46,30.71,40.41,39.34,37.55,6177
南投縣水里鄉,0.1431,0.6778,47,51.4,41.35,37.17,31.57,21.93,14.29,15.05,31.09,42.12,39.56,39.74,7933
南投縣信義鄉,0.1121,0.6519,37,55.4,51.82,46.94,42.52,21.47,13.17,10.99,30.48,39.45,38.18,36.11,6505
南投縣魚池鄉,0.1343,0.6876,46.463,49.9,40.14,35.76,28.79,21.99,15.87,15.21,30.03,41.17,38.82,38.92,7023
南投縣中寮鄉,0.1197,0.7091,48.5848,49.3,43.61,38.27,31.84,24.48,14.27,14.74,31.04,43.25,40.2,41.01,6973
南投縣竹山鎮,0.17,0.6801,43.0767,53.1,40.94,37.19,30.71,23.2,13.92,16.04,30.97,39.67,38.83,39.67,23861
澎湖縣白沙鄉,0.1569,0.6915,43.8274,63.7,32.56,29.06,26.48,17.69,10.27,10.98,23.22,29.39,28.32,28.83,3223
澎湖縣湖西鄉,0.1718,0.6621,43,64.4,33.09,30.26,26.26,19.19,11.34,11.56,24.16,31.05,30.02,30.57,4886
澎湖縣馬公市,0.246,0.6237,39,70.1,35.68,32.9,29.56,18.53,13.42,14.11,27.71,36.17,34.46,35.77,24016
澎湖縣七美鄉,0.1682,0.6877,42,61.5,21.55,19.09,16.39,12.95,9.4,9.66,15.86,21.1,19.77,19.56,892
澎湖縣望安鄉,0.1587,0.6912,46,65.6,30.99,27.44,25.43,18.11,10.7,10.52,20.42,27.14,25.76,24.76,1558
澎湖縣西嶼鄉,0.1365,0.7038,45.1102,59.6,24.95,21.95,19.49,16.34,9.02,9.27,17.15,22.23,21.92,20.93,2050
屏東縣潮州鎮,0.2081,0.6446,42,58.6,37.87,35.21,31.3,25.3,14.59,15.5,27.87,37.12,35.7,35.84,21790
屏東縣車城鄉,0.104,0.6773,47,53.2,29.72,25.03,22.36,22.73,12.75,13.43,20.57,28.53,26.64,26.29,2747
屏東縣春日鄉,0.0735,0.651,36.8636,55.5,32.78,29.08,27.91,11.16,11.01,11.22,13.92,19.55,18.84,18.33,982
屏東縣東港鎮,0.1727,0.6486,40,55.2,38.68,34.61,29.79,27.18,14.43,15.35,26.5,36.84,34.36,34.96,18504
屏東縣枋寮鄉,0.1369,0.678,45,54.8,38.99,34.59,30.24,26.18,13.63,14.94,26.86,35.84,34.08,34,9835
屏東縣枋山鄉,0.0893,0.6871,45,51.8,37.71,33.32,29.67,27.51,14.04,14.56,26.42,34.78,33.28,32.48,2173
屏東縣高樹鄉,0.1118,0.7027,48.9268,51.4,34.45,30.52,26.75,28.15,14.12,14.96,24.63,31.79,29.88,30.45,9124
屏東縣恆春鎮,0.1403,0.668,40.9979,52.5,33.53,29.62,25.01,22.05,14.08,14.29,24.26,34.72,32.52,32.1,10964
屏東縣佳冬鄉,0.1378,0.6795,46.1159,54.6,35.77,31.1,28.58,27.22,14.19,14.77,24.58,33.41,31.16,33.07,7344
屏東縣九如鄉,0.1676,0.6586,42,55.2,38.77,34.67,30.19,30.33,15,15.42,26.64,37.15,34.5,35.49,9084
屏東縣崁頂鄉,0.1641,0.6539,39.1694,54.4,36.89,33.54,29.85,27.71,15.52,16.41,27.36,36.64,34.45,34.75,5727
屏東縣來義鄉,0.0902,0.6597,39.8889,54,46.19,42.38,38.72,14.4,12.59,13.14,33.95,42.43,41.17,40.19,3209
屏東縣里港鄉,0.1794,0.6763,41,56.9,38.38,34.21,30.46,29.15,16.48,16.34,26.87,37.17,34.8,35.38,10679
屏東縣林邊鄉,0.1524,0.6814,45,55.5,40.68,36.61,32.81,30.59,14.98,17.61,27.83,37.58,35.39,35.66,7618
屏東縣麟洛鄉,0.2264,0.6674,46.3476,61,41.64,36.81,35.55,30.98,17,20.27,29.44,40.89,38.5,39.5,5154
